Módulo;Nº;Prueba;Resultado;Notas
Productos;40;Ver detalle de un producto (/productos/[id]);;
Productos;41;Botón Volver desde detalle a listado;;
Inventario;42;Cargar página Inventario con listado;;
Inventario;43;Consultar inventario por producto/serie;;
Entradas - Acciones;44;Botón Subir AC21 lleva a /albaranes/upload-ac21;;
Entradas - Acciones;45;Botón Subir Excel lleva a /albaranes/upload;;
Entradas - Acciones;46;Botón Historial de Movimientos (con productos) lleva a gestión línea temporal;;
Entradas - Acciones;47;Historial deshabilitado cuando no hay productos en línea temporal;;
Entradas - Tabla;48;Listado de albaranes de entrada se carga;;
Entradas - Tabla;49;Filtro tipo: Todos / Albarán / AC21;;
Entradas - Tabla;50;Búsqueda por texto en tabla;;
Entradas - Tabla;51;Ordenar columnas si aplica;;
Entradas - Tabla;52;Click en fila o Ver lleva a detalle albarán;;
Entradas - Tabla;53;Botón Crear AC21 Salida (desde entrada) lleva a formulario con datos;;
Entradas - Tabla;54;Botón Imprimir AC21 genera/abre PDF/HTML;;
Entradas - Tabla;55;Botón Editar (AC21) lleva a detalle con ?edit=true;;
Entradas - Tabla;56;Botón Eliminar abre confirmación;;
Entradas - Tabla;57;Confirmar eliminación borra albarán y actualiza listado;;
Salidas;58;Listado de albaranes de salida se carga;;
Salidas;59;Mismos filtros/acciones que en Entradas para salidas;;
Subir AC21 - Flujo;60;Seleccionar archivo PDF o imagen;;
Subir AC21 - Flujo;61;Procesar imagen: OCR se ejecuta y muestra resultados;;
Subir AC21 - Flujo;62;Ver vista previa de imagen/páginas;;
Subir AC21 - Flujo;63;Cambiar zoom/pan en vista previa;;
Subir AC21 - Flujo;64;Selector empresa origen: elegir empresa y ver datos;;
Subir AC21 - Flujo;65;Selector empresa destino: elegir empresa y ver datos;;
Subir AC21 - Flujo;66;Pestaña Empresas: editar datos empresa origen/destino;;
Subir AC21 - Flujo;67;Guardar nueva empresa desde pestaña y que aparezca en selector;;
Procesamiento AC21 - Selector cryptocustodios;68;Selector solo visible cuando hay empresa destino elegida;;
Procesamiento AC21 - Selector cryptocustodios;69;Desplegable cryptocustodio firma A (punto 15) rellena Empleo/Rango; Nombre; Cargo;;
Procesamiento AC21 - Selector cryptocustodios;70;Desplegable cryptocustodio firma B (punto 16) rellena Empleo/Rango; Nombre; Cargo;;
Procesamiento AC21 - Selector cryptocustodios;71;Selección en desplegable se mantiene visible (no vuelve a — Seleccionar —);;
Procesamiento AC21 - Selector cryptocustodios;72;Al cambiar empresa destino se limpia selección y se recargan cryptocustodios;;
Procesamiento AC21 - Selector cryptocustodios;73;Añadir cryptocustodio: formulario se rellena con datos actuales de firma A (OCR/usuario);;
Procesamiento AC21 - Selector cryptocustodios;74;Tras guardar nuevo cryptocustodio aparece en desplegable y se puede elegir;;
Procesamiento AC21 - Selector cryptocustodios;75;Elegir — Seleccionar — deja campos como están;;
Procesamiento AC21 - Selector cryptocustodios;76;OCR: tras autorellenar empresa destino, si el nombre de Firma A/B existe como cryptocustodio de esa empresa, se preselecciona en el desplegable;;
Subir AC21 - Flujo;77;Editar cabecera (fechas; nº registro; estado material; checkboxes 15/16);;
Subir AC21 - Flujo;74;Editar campos de firma A y B manualmente;;
Subir AC21 - Flujo;75;Tabla de artículos: ver líneas detectadas por OCR;;
Subir AC21 - Flujo;76;Seleccionar/deseleccionar artículos para procesar;;
Subir AC21 - Flujo;77;Asignar tipo (C/CC) a artículos;;
Subir AC21 - Flujo;78;Insertar línea manual en tabla de artículos;;
Subir AC21 - Flujo;79;Validación: sin nº registro salida no permite continuar;;
Subir AC21 - Flujo;80;Confirmar y guardar en línea temporal (sin documento existente);;
Subir AC21 - Flujo;81;Confirmar y agregar a albarán existente (si hay duplicado);;
Subir AC21 - Flujo;82;Confirmar y crear nuevo documento AC21;;
Subir AC21 - Flujo;83;Modal documento existente: elegir agregar a existente o nuevo;;
Subir AC21 - Flujo;84;Subir AC21 multipágina: procesar varias páginas;;
Subir Excel;85;Seleccionar archivo Excel;;
Subir Excel;86;Subir archivo: procesar y mostrar resultado;;
Subir Excel;87;Mensaje de error si formato incorrecto;;
Línea temporal;88;Cargar Gestión de Línea Temporal;;
Línea temporal;89;Listar productos en línea temporal;;
Línea temporal;90;Asignar/guardar tipo de producto por código;;
Línea temporal;91;Confirmar/Procesar para crear AC21 desde línea temporal;;
Línea temporal;92;Eliminar o limpiar línea temporal si aplica;;
Crear AC21 salida (nuevo);93;Acceso desde Salidas o desde botón en entrada;;
Crear AC21 salida (nuevo);94;Selector empresa origen (autocompletado);;
Crear AC21 salida (nuevo);95;Selector empresa destino (autocompletado);;
Crear AC21 salida (nuevo);96;Añadir líneas de producto con cantidad y nº serie;;
Crear AC21 salida (nuevo);97;Rellenar cabecera y firmas;;
Crear AC21 salida (nuevo);98;Enviar/Guardar AC21 salida;;
Detalle Albarán (vista);99;Ver detalle albarán (AC21) muestra cabecera empresas firmas;;
Detalle Albarán (vista);100;Ver detalle albarán normal (no AC21) muestra datos básicos;;
Detalle Albarán (vista);101;Listado de movimientos/productos en detalle;;
Detalle Albarán (vista);102;Navegación entre páginas si documento multipágina;;
Detalle Albarán (vista);103;Botón Imprimir/Descargar AC21;;
Detalle Albarán (vista);104;Ver imagen del documento si existe;;
Detalle Albarán (edición);105;Botón Editar activa modo edición;;
Detalle Albarán (edición);106;Cambiar empresa origen en edición;;
Detalle Albarán (edición);107;Cambiar empresa destino en edición;;
Detalle Albarán (edición);108;Desplegables cryptocustodios rellenan firma A y B;;
Detalle Albarán (edición);109;Selección cryptocustodio se mantiene en desplegable;;
Detalle Albarán (edición);110;Editar campos de firma y observaciones;;
Detalle Albarán (edición);111;Guardar cambios actualiza datos y recarga vista;;
Detalle Albarán (edición);112;Cancelar edición descarta cambios;;
Detalle Albarán (edición);113;Añadir movimiento/producto en edición;;
Detalle Albarán (edición);114;Editar movimiento (cantidad; serie; CC; etc.);;
Detalle Albarán (edición);115;Eliminar movimiento con confirmación;;
Detalle Albarán (edición);116;Token expirado: refresco y reintento de guardado;;
Detalle Albarán (edición);117;Nombre en listado (nº registro) se actualiza tras guardar;;
Otros;118;Filtros y búsqueda en listados persisten o funcionan bien;;
Otros;119;Responsive: navegación y formularios usables en móvil/tablet;;
Otros;120;Mensajes de error visibles y comprensibles;;
